rank,name,saw_score,c1_weighted,c2_weighted,c3_weighted
182,Hotel Grand Permata Hati,0.16071428571428573,0.16071428571428573,0.0,0.0
184,Losmen PUM Syariah at Desa Wisata Sabang,0.10714285714285715,0.10714285714285715,0.0,0.0
184,Pavilliun Seulawah,0.10714285714285715,0.10714285714285715,0.0,0.0
184,EVA SKY HOTEL,0.10714285714285715,0.10714285714285715,0.0,0.0
184,Hijrah Inn Banda Aceh,0.10714285714285715,0.10714285714285715,0.0,0.0
187,Kuara Guest House Takengon,0.07500000000000001,0.07500000000000001,0.0,0.0
189,Pineung Residence Syariah,0.053571428571428575,0.053571428571428575,0.0,0.0
189,Quanza Hotel,0.053571428571428575,0.053571428571428575,0.0,0.0
189,Acc Family Homestay Takengon,0.053571428571428575,0.053571428571428575,0.0,0.0
189,RedDoorz Syariah Near Taman Kopi Gayo,0.053571428571428575,0.053571428571428575,0.0,0.0
192,Furqan Guest House,0.03214285714285714,0.03214285714285714,0.0,0.0
192,Amira Bungalow Iboih,0.03214285714285714,0.03214285714285714,0.0,0.0
201,Kumala Hotel Banda Aceh,0.0,0.0,0.0,0.0
201,Villa Kelamun Ine R-F,0.0,0.0,0.0,0.0
201,Penginapan Syariah Maqila,0.0,0.0,0.0,0.0
201,Hotel Madinah,0.0,0.0,0.0,0.0
201,RedDoorz Syariah Near Universitas Syiah Kuala Aceh,0.0,0.0,0.0,0.0
201,Banda Aceh Houses,0.0,0.0,0.0,0.0
201,De Mawar Hotel,0.0,0.0,0.0,0.0
201,Homestay Syafari,0.0,0.0,0.0,0.0
201,Homestay Syariah Casa Sakinah,0.0,0.0,0.0,0.0
201,Ilona Boutique Hotel,0.0,0.0,0.0,0.0
201,Freddies Villas Sabang,0.0,0.0,0.0,0.0
201,Penginapan JANNAH Syariah,0.0,0.0,0.0,0.0
201,Al Hanifi Hotel,0.0,0.0,0.0,0.0
201,Kanaya Homestay Syari’ah Banda Aceh,0.0,0.0,0.0,0.0
201,Fairuz Hotel Managed by Calandra,0.0,0.0,0.0,0.0
